split,model,target,n,positives,threshold,tp,fp,tn,fn,sensitivity,specificity,precision,npv,accuracy,sensitivity_lower,sensitivity_upper,specificity_lower,specificity_upper,roc_auc,average_precision
discovery_screen,four_class_catboost,any_rejection,263,174,0.8152896805643628,157,6,83,17,0.9022988505747126,0.9325842696629213,0.9631901840490797,0.83,0.9125475285171103,0.8491150029526895,0.938103010936596,0.8606322391743677,0.9687386149470767,0.9754617073485728,0.9870382465238157
discovery_screen,four_class_logistic,any_rejection,263,174,0.7474529027563233,157,7,82,17,0.9022988505747126,0.9213483146067416,0.9573170731707317,0.8282828282828283,0.908745247148289,0.8491150029526895,0.938103010936596,0.846448576179568,0.961380177834826,0.9720392612682422,0.981831242908534
discovery_screen,binary_benchmark,any_rejection,263,174,0.8765880870219778,157,5,84,17,0.9022988505747126,0.9438202247191011,0.9691358024691358,0.8316831683168316,0.9163498098859315,0.8491150029526895,0.938103010936596,0.8751458326492151,0.9757671215792799,0.9762366008007233,0.9864819834798964
discovery_screen,separate_components,any_rejection,263,174,,163,6,83,11,0.9367816091954023,0.9325842696629213,0.9644970414201184,0.8829787234042553,0.935361216730038,0.8903572948052545,0.9643365488459701,0.8606322391743677,0.9687386149470767,,
author_validation,four_class_catboost,any_rejection,345,169,0.8152896805643628,140,8,168,29,0.8284023668639053,0.9545454545454546,0.9459459459459459,0.8527918781725888,0.8927536231884058,0.7644233061673041,0.8777837242370822,0.9128822753639693,0.9767902231199511,0.9593531468531469,0.9610316994209104
author_validation,four_class_logistic,any_rejection,345,169,0.7474529027563233,141,10,166,28,0.834319526627219,0.9431818181818182,0.9337748344370861,0.8556701030927835,0.8898550724637682,0.770965751906083,0.8828125763434277,0.8985826318848438,0.9688480541369786,0.9548480365788058,0.9590030223648855
author_validation,binary_benchmark,any_rejection,345,169,0.8765880870219778,144,8,168,25,0.8520710059171598,0.9545454545454546,0.9473684210526315,0.8704663212435233,0.9043478260869565,0.7907424349313178,0.897749786853565,0.9128822753639693,0.9767902231199511,0.9687668101129641,0.9715838816061155
author_validation,separate_components,any_rejection,345,169,,145,15,161,24,0.8579881656804734,0.9147727272727273,0.90625,0.8702702702702703,0.8869565217391304,0.7973882580805921,0.9026752615494148,0.8641540642072312,0.9476720906593461,,
