candidate,family,n,accuracy,macro_f1,correct,incorrect,seconds
catboost_depth4,four_class_catboost,263,0.8555133079847909,0.7818828680897647,225,38,24.060322700000143
catboost_depth6,four_class_catboost,263,0.8517110266159695,0.7885451422957531,224,39,89.17162390000067
logistic_C0.01,four_class_logistic,263,0.8593155893536122,0.7987007199005374,226,37,0.07975840000017342
logistic_C0.1,four_class_logistic,263,0.8479087452471483,0.7836393175874101,223,40,0.08538409999982832
logistic_C1,four_class_logistic,263,0.8403041825095057,0.7676101676101676,221,42,0.08431299999938346
