model,n,positives,negatives,prevalence,threshold,tp,fn,fp,tn,sensitivity,specificity,ppv,npv,accuracy,roc_auc,average_precision,brier,mean_score
catboost_all_depth4,345,169,176,0.48985507246376814,0.8765880870219778,144,25,8,168,0.8520710059171598,0.9545454545454546,0.9473684210526315,0.8704663212435233,0.9043478260869565,0.9687668101129641,0.9715838816061155,0.07828898075276164,0.5265172152727765
logistic_all,345,169,176,0.48985507246376814,0.8536733723106492,136,33,8,168,0.8047337278106509,0.9545454545454546,0.9444444444444444,0.835820895522388,0.881159420289855,0.9556885422270038,0.9579113432616737,0.08580954963974592,0.518493431833302
single_gene_IFNG,345,169,176,0.48985507246376814,0.5207579856992155,155,14,75,101,0.9171597633136095,0.5738636363636364,0.6739130434782609,0.8782608695652174,0.7420289855072464,0.8424220010758472,0.7943738195631976,0.18505666654702646,0.6361132025168996
training_prevalence,345,169,176,0.48985507246376814,0.5,169,0,176,0,1.0,0.0,0.48985507246376814,,0.48985507246376814,0.5,0.48985507246376814,0.2790977053528134,0.6607369758576873
