model,field,group,n,positives,negatives,prevalence,threshold,tp,fn,fp,tn,sensitivity,specificity,ppv,npv,accuracy,roc_auc,average_precision,brier,mean_score,No Rejection,Antibody-mediated Rejection,T cell-mediated Rejection,Mixed Rejection,miss_rate,false_flag_rate,miss_wilson_lower,miss_wilson_upper,false_flag_wilson_lower,false_flag_wilson_upper
logistic_all,CartridgeID,V20211210-G022-2,11,6,5,0.5454545454545454,0.8536733723106492,6,0,0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006725805466610859,0.5545765046963799,5,1,4,1,0.0,0.0,2.7755575615628914e-17,0.3903342879021653,0.0,0.43448246478317476
logistic_all,CartridgeID,V20211210-G023-3,11,6,5,0.5454545454545454,0.8536733723106492,6,0,0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.030075772742704253,0.6031956206598861,5,2,4,0,0.0,0.0,2.7755575615628914e-17,0.3903342879021653,0.0,0.43448246478317476
logistic_all,CartridgeID,V20211210-G024-4,12,7,5,0.5833333333333334,0.8536733723106492,5,2,0,5,0.7142857142857143,1.0,1.0,0.7142857142857143,0.8333333333333334,1.0,0.9999999999999998,0.04466024265678511,0.5727265979266932,5,2,4,1,0.2857142857142857,0.0,0.08221892400405678,0.6410655481673808,0.0,0.43448246478317476
logistic_all,CartridgeID,V20211219-G025-1,11,6,5,0.5454545454545454,0.8536733723106492,4,2,0,5,0.6666666666666666,1.0,1.0,0.7142857142857143,0.8181818181818182,1.0,1.0,0.09925274690783673,0.4240402250398322,5,2,3,1,0.3333333333333333,0.0,0.09677141110578041,0.700006684861608,0.0,0.43448246478317476
logistic_all,CartridgeID,V20211219-G026-2,12,8,4,0.6666666666666666,0.8536733723106492,7,1,0,4,0.875,1.0,1.0,0.8,0.9166666666666666,1.0,1.0,0.026920760466845925,0.7032312330574618,4,2,4,2,0.125,0.0,0.02241749145005667,0.4708881822128535,0.0,0.4898908364545973
logistic_all,CartridgeID,V20211219-G027-3,12,7,5,0.5833333333333334,0.8536733723106492,5,2,0,5,0.7142857142857143,1.0,1.0,0.7142857142857143,0.8333333333333334,0.8857142857142857,0.9325396825396823,0.15412537447589286,0.5115146774211137,5,2,4,1,0.2857142857142857,0.0,0.08221892400405678,0.6410655481673808,0.0,0.43448246478317476
logistic_all,CartridgeID,V20211219-G028-4,12,7,5,0.5833333333333334,0.8536733723106492,7,0,0,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.03504454278800697,0.6433120976122597,5,2,4,1,0.0,0.0,5.551115123125783e-17,0.35433043506668743,0.0,0.43448246478317476
logistic_all,CartridgeID,V20211221-G029-1,12,3,9,0.25,0.8536733723106492,1,2,1,8,0.3333333333333333,0.8888888888888888,0.5,0.8,0.75,0.6296296296296295,0.6388888888888888,0.1717695361493428,0.24704380016744223,9,2,1,0,0.6666666666666666,0.1111111111111111,0.2076596008020477,0.9385080552796037,0.019890887638544907,0.434999705576656
logistic_all,CartridgeID,V20211221-G030-2,11,2,9,0.18181818181818182,0.8536733723106492,1,1,0,9,0.5,1.0,1.0,0.9,0.9090909090909091,1.0,1.0,0.03385116494756477,0.25841944308695886,9,1,1,0,0.5,0.0,0.09453120573423074,0.9054687942657693,0.0,0.2991450484195441
logistic_all,CartridgeID,V20211221-G031-3,11,1,10,0.09090909090909091,0.8536733723106492,1,0,0,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09237509128104703,0.2592810302238557,10,1,0,0,0.0,0.0,0.0,0.7934506856227626,0.0,0.2775327998628892
logistic_all,ScannerID,2010C0748,345,169,176,0.48985507246376814,0.8536733723106492,136,33,8,168,0.8047337278106509,0.9545454545454546,0.9444444444444444,0.835820895522388,0.881159420289855,0.9556885422270038,0.9579113432616737,0.08580954963974592,0.518493431833302,176,56,95,18,0.1952662721893491,0.045454545454545456,0.14255546229452784,0.2615226986815822,0.02320977688004896,0.08711772463603079
single_gene_IFNG,Date,20211130,91,48,43,0.5274725274725275,0.5207579856992155,40,8,18,25,0.8333333333333334,0.5813953488372093,0.6896551724137931,0.7575757575757576,0.7142857142857143,0.8347868217054264,0.8517201292976194,0.176469955708655,0.6223700564133292,43,16,26,6,0.16666666666666666,0.4186046511627907,0.08695513576485567,0.295778284012556,0.28384550927849195,0.5667142261303578
single_gene_IFNG,Date,20211201,43,21,22,0.4883720930232558,0.5207579856992155,21,0,12,10,1.0,0.45454545454545453,0.6363636363636364,1.0,0.7209302325581395,0.8528138528138527,0.8073269960119438,0.20849136705550453,0.6909543376471377,22,6,13,2,0.0,0.5454545454545454,0.0,0.154639018924847,0.3465979532073494,0.7307970581918668
single_gene_IFNG,Date,20211202,43,21,22,0.4883720930232558,0.5207579856992155,21,0,14,8,1.0,0.36363636363636365,0.6,1.0,0.6744186046511628,0.8744588744588745,0.8644648809373121,0.20518737597930392,0.6970118155627358,22,7,13,1,0.0,0.6363636363636364,0.0,0.154639018924847,0.42951708090131013,0.8026679532963387
